ID	Gene Name	Species	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT	INTERPRO	PIR_SUPERFAMILY	SMART	UP_KW_BIOLOGICAL_PROCESS	UP_KW_CELLULAR_COMPONENT	UP_KW_DOMAIN	UP_KW_LIGAND	UP_KW_MOLECULAR_FUNCTION	UP_KW_PTM	UP_SEQ_FEATURE												
SMc02436	peptide chain release factor 1(prfA)	Sinorhizobium meliloti 2011		GO:0005737~cytoplasm,	GO:0016149~translation release factor activity, codon specific,	IPR000352:Peptide chain release factor class I/class II,IPR004373:Peptide chain release factor 1,IPR005139:Peptide chain release factor,		SM00937:SM00937,	KW-0648~Protein biosynthesis,	KW-0963~Cytoplasm,	KW-0175~Coiled coil,			KW-0488~Methylation,	COMPBIAS:Basic and acidic residues,DOMAIN:RF_PROK_I,REGION:Disordered,												
SMa1236	periplasmic nitrate reductase subunit alpha(napA)	Sinorhizobium meliloti 2011	GO:0006777~Mo-molybdopterin cofactor biosynthetic process,GO:0042128~nitrate assimilation,	GO:0042597~periplasmic space,	GO:0005506~iron ion binding,GO:0008940~nitrate reductase activity,GO:0009055~electron carrier activity,GO:0030151~molybdenum ion binding,GO:0043546~molybdopterin cofactor binding,GO:0050140~nitrate reductase (cytochrome) activity,GO:0051539~4 iron, 4 sulfur cluster binding,	IPR006311:Twin-arginine translocation pathway, signal sequence,IPR006656:Molybdopterin oxidoreductase,IPR006657:Molydopterin dinucleotide-binding domain,IPR006963:Molybdopterin oxidoreductase, 4Fe-4S domain,IPR009010:Aspartate decarboxylase-like domain,IPR010051:Periplasmic nitrate reductase, large subunit,IPR027467:Molybdopterin oxidoreductase, molybdopterin cofactor binding site,		SM00926:SM00926,	KW-0249~Electron transport,KW-0534~Nitrate assimilation,KW-0813~Transport,	KW-0574~Periplasm,	KW-0732~Signal,	KW-0004~4Fe-4S,KW-0408~Iron,KW-0411~Iron-sulfur,KW-0479~Metal-binding,KW-0500~Molybdenum,	KW-0560~Oxidoreductase,		BINDING:Mo-bis(molybdopterin guanine dinucleotide),BINDING:Mo-bis(molybdopterin guanine dinucleotide)	 via amide nitrogen,BINDING:Substrate	 via amide nitrogen,DOMAIN:4Fe-4S Mo/W bis-MGD-type,METAL:Iron-sulfur (4Fe-4S),REGION:Mo-bis(molybdopterin guanine dinucleotide) binding,SIGNAL:Tat-type signal,										
SMa1236	periplasmic nitrate reductase(C770_RS22445)	Sinorhizobium meliloti GR4	GO:0006777~Mo-molybdopterin cofactor biosynthetic process,GO:0042128~nitrate assimilation,	GO:0042597~periplasmic space,	GO:0005506~iron ion binding,GO:0008940~nitrate reductase activity,GO:0009055~electron carrier activity,GO:0030151~molybdenum ion binding,GO:0043546~molybdopterin cofactor binding,GO:0050140~nitrate reductase (cytochrome) activity,GO:0051539~4 iron, 4 sulfur cluster binding,	IPR006311:Twin-arginine translocation pathway, signal sequence,IPR006656:Molybdopterin oxidoreductase,IPR006657:Molydopterin dinucleotide-binding domain,IPR006963:Molybdopterin oxidoreductase, 4Fe-4S domain,IPR009010:Aspartate decarboxylase-like domain,IPR010051:Periplasmic nitrate reductase, large subunit,IPR027467:Molybdopterin oxidoreductase, molybdopterin cofactor binding site,		SM00926:SM00926,	KW-0249~Electron transport,KW-0534~Nitrate assimilation,KW-0813~Transport,	KW-0574~Periplasm,	KW-0732~Signal,	KW-0004~4Fe-4S,KW-0408~Iron,KW-0411~Iron-sulfur,KW-0479~Metal-binding,KW-0500~Molybdenum,	KW-0560~Oxidoreductase,		BINDING:Mo-bis(molybdopterin guanine dinucleotide),BINDING:Mo-bis(molybdopterin guanine dinucleotide)	 via amide nitrogen,BINDING:Substrate	 via amide nitrogen,DOMAIN:4Fe-4S Mo/W bis-MGD-type,METAL:Iron-sulfur (4Fe-4S),REGION:Mo-bis(molybdopterin guanine dinucleotide) binding,SIGNAL:Tat-type signal,										
SMc02111	phasin PhaP2(phaP2)	Sinorhizobium meliloti 2011				IPR010127:Phasin, subfamily 1,IPR018968:Phasin,									DOMAIN:Phasin_2,												
SM_b21640	phenylacetate-CoA oxygenase subunit PaaA(C770_RS26070)	Sinorhizobium meliloti GR4	GO:0010124~phenylacetate catabolic process,		GO:0097266~phenylacetyl-CoA 1,2-epoxidase activity,	IPR007814:Phenylacetic acid catabolic,IPR009078:Ferritin-like superfamily,IPR011881:Phenylacetate-CoA oxygenase, PaaG subunit,IPR012347:Ferritin-related,							KW-0560~Oxidoreductase,		REGION:Disordered,												
SMc00365	phenylalanine--tRNA ligase subunit alpha(pheS)	Sinorhizobium meliloti 2011	GO:0006432~phenylalanyl-tRNA aminoacylation,	GO:0005737~cytoplasm,	GO:0000049~tRNA binding,GO:0000287~magnesium ion binding,GO:0004826~phenylalanine-tRNA ligase activity,GO:0005524~ATP binding,	IPR002319:Phenylalanyl-tRNA synthetase,IPR004188:Phenylalanine-tRNA ligase, class II, N-terminal,IPR004529:Phenylalanyl-tRNA synthetase, class IIc, alpha subunit,IPR004530:Phenylalanyl-tRNA synthetase, class IIc, mitochondrial,IPR006195:Aminoacyl-tRNA synthetase, class II,IPR010978:tRNA-binding arm,IPR022911:Phenylalanine-tRNA ligase alpha chain 1, bacterial,			KW-0648~Protein biosynthesis,	KW-0963~Cytoplasm,	KW-0175~Coiled coil,	KW-0067~ATP-binding,KW-0460~Magnesium,KW-0479~Metal-binding,KW-0547~Nucleotide-binding,	KW-0030~Aminoacyl-tRNA synthetase,KW-0436~Ligase,		DOMAIN:AA_TRNA_LIGASE_II,METAL:Magnesium,												
SMc00092	phosphoadenylyl-sulfate reductase(SM2011_RS19125)	Sinorhizobium meliloti 2011	GO:0019344~cysteine biosynthetic process,GO:0019379~sulfate assimilation, phosphoadenylyl sulfate reduction by phosphoadenylyl-sulfate reductase (thioredoxin),GO:0070814~hydrogen sulfide biosynthetic process,	GO:0005737~cytoplasm,	GO:0004604~phosphoadenylyl-sulfate reductase (thioredoxin) activity,GO:0043866~adenylyl-sulfate reductase (thioredoxin) activity,GO:0046872~metal ion binding,GO:0051536~iron-sulfur cluster binding,	IPR002500:Phosphoadenosine phosphosulphate reductase,IPR004511:Phosphoadenosine phosphosulphate/adenosine 5'-phosphosulphate reductase,IPR011798:Adenosine 5'-phosphosulphate reductase,IPR014729:Rossmann-like alpha/beta/alpha sandwich fold,	PIRSF000857:phosphoadenosine phosphosulfate reductase,			KW-0963~Cytoplasm,	KW-0175~Coiled coil,	KW-0408~Iron,KW-0411~Iron-sulfur,KW-0479~Metal-binding,	KW-0560~Oxidoreductase,		ACT_SITE:Nucleophile	 cysteine thiosulfonate intermediate,DOMAIN:PAPS_reduct,METAL:Iron-sulfur (4Fe-4S),											
SMc03981	phosphoglycerate kinase(SM2011_RS28465)	Sinorhizobium meliloti 2011	GO:0006096~glycolytic process,	GO:0005737~cytoplasm,	GO:0004618~phosphoglycerate kinase activity,GO:0005524~ATP binding,	IPR001576:Phosphoglycerate kinase,IPR015824:Phosphoglycerate kinase, N-terminal,IPR015911:Phosphoglycerate kinase, conserved site,	PIRSF000724:phosphoglycerate kinase,		KW-0324~Glycolysis,	KW-0963~Cytoplasm,		KW-0067~ATP-binding,KW-0547~Nucleotide-binding,	KW-0418~Kinase,KW-0808~Transferase,		BINDING:ATP,BINDING:Substrate,NP_BIND:ATP,REGION:Substrate binding,												
SM_b21177	phosphonate ABC transporter ATP-binding protein(phnC)	Sinorhizobium meliloti 2011		GO:0005886~plasma membrane,	GO:0005524~ATP binding,GO:0015416~ATPase-coupled organic phosphonate transmembrane transporter activity,	IPR003439:ABC transporter-like,IPR003593:AAA+ ATPase domain,IPR012693:ABC transporter, phosphonate import, PhnC,IPR017871:ABC transporter, conserved site,IPR027417:P-loop containing nucleoside triphosphate hydrolase,		SM00382:AAA,	KW-0813~Transport,KW-0918~Phosphonate transport,	KW-0472~Membrane,KW-0997~Cell inner membrane,KW-1003~Cell membrane,		KW-0067~ATP-binding,KW-0547~Nucleotide-binding,	KW-1278~Translocase,		DOMAIN:ABC transporter,NP_BIND:ATP,												
SM_b21176	phosphonate ABC transporter substrate-binding protein(phnD)	Sinorhizobium meliloti 2011	GO:0015716~organic phosphonate transport,GO:0055085~transmembrane transport,	GO:0043190~ATP-binding cassette (ABC) transporter complex,		IPR005770:Phosphonate-binding periplasmic protein,IPR017797:ABC transporter, phosphonate, periplasmic substrate-binding protein,					KW-0732~Signal,																
SM_b21174	phosphonate ABC transporter, permease protein PhnE(phnE)	Sinorhizobium meliloti 2011		GO:0005887~integral component of plasma membrane,	GO:0015416~ATPase-coupled organic phosphonate transmembrane transporter activity,	IPR000515:Binding-protein-dependent transport systems inner membrane component,IPR005769:Phosphonate uptake transporter,			KW-0813~Transport,	KW-0472~Membrane,					DOMAIN:ABC transmembrane type-1,TRANSMEM:Helical,												
SMc00494	phosphoribosylformylglycinamidine synthase subunit PurS(purS)	Sinorhizobium meliloti 2011	GO:0006189~'de novo' IMP biosynthetic process,	GO:0005737~cytoplasm,	GO:0004642~phosphoribosylformylglycinamidine synthase activity,GO:0005524~ATP binding,	IPR003850:Phosphoribosylformylglycinamidine synthetase, PurS subunit,				KW-0963~Cytoplasm,			KW-0436~Ligase,														
SM_b20201	phosphoribulokinase(C770_RS32690)	Sinorhizobium meliloti GR4	GO:0005975~carbohydrate metabolic process,GO:0019253~reductive pentose-phosphate cycle,		GO:0005524~ATP binding,GO:0008974~phosphoribulokinase activity,	IPR006082:Phosphoribulokinase,IPR006083:Phosphoribulokinase/uridine kinase,IPR027417:P-loop containing nucleoside triphosphate hydrolase,			KW-0113~Calvin cycle,			KW-0067~ATP-binding,KW-0547~Nucleotide-binding,	KW-0418~Kinase,KW-0808~Transferase,		DOMAIN:PRK,NP_BIND:ATP,												
SM_b20201	phosphoribulokinase(SM2011_RS07550)	Sinorhizobium meliloti 2011	GO:0005975~carbohydrate metabolic process,GO:0019253~reductive pentose-phosphate cycle,		GO:0005524~ATP binding,GO:0008974~phosphoribulokinase activity,	IPR006082:Phosphoribulokinase,IPR006083:Phosphoribulokinase/uridine kinase,IPR027417:P-loop containing nucleoside triphosphate hydrolase,			KW-0113~Calvin cycle,			KW-0067~ATP-binding,KW-0547~Nucleotide-binding,	KW-0418~Kinase,KW-0808~Transferase,		DOMAIN:PRK,NP_BIND:ATP,												
SMc00640	phosphoserine transaminase(SM2011_RS28290)	Sinorhizobium meliloti 2011	GO:0006564~L-serine biosynthetic process,GO:0008615~pyridoxine biosynthetic process,		GO:0004648~O-phospho-L-serine:2-oxoglutarate aminotransferase activity,	IPR000192:Aminotransferase, class V/Cysteine desulfurase,IPR006271:Phosphoserine aminotransferase, Methanosarcina-type,IPR015421:Pyridoxal phosphate-dependent transferase, major region, subdomain 1,IPR015422:Pyridoxal phosphate-dependent transferase, major region, subdomain 2,IPR015424:Pyridoxal phosphate-dependent transferase,IPR022278:Phosphoserine aminotransferase,	PIRSF000525:phosphoserine aminotransferase,		KW-0028~Amino-acid biosynthesis,KW-0664~Pyridoxine biosynthesis,KW-0718~Serine biosynthesis,			KW-0663~Pyridoxal phosphate,	KW-0032~Aminotransferase,KW-0808~Transferase,		DOMAIN:Aminotran_5,REGION:Disordered,												
SMc04059	pilus assembly protein(SM2011_RS28845)	Sinorhizobium meliloti 2011				IPR002035:von Willebrand factor, type A,		SM00327:VWA,							DOMAIN:VWFA,												
SMa0670	polyphosphate kinase 2(ppk2)	Sinorhizobium meliloti 2011	GO:0006754~ATP biosynthetic process,		GO:0008976~polyphosphate kinase activity,	IPR016898:Polyphosphate kinase 2,IPR022486:Polyphosphate kinase 2, PA0141,IPR022488:Polyphosphate kinase-2-related,IPR027417:P-loop containing nucleoside triphosphate hydrolase,	PIRSF028756:polyphosphate kinase 2,		KW-0066~ATP synthesis,				KW-0418~Kinase,KW-0808~Transferase,		COMPBIAS:Basic and acidic residues,REGION:Disordered,												
SMc03884	polyprenyl synthetase family protein(SM2011_RS31040)	Sinorhizobium meliloti 2011	GO:0008299~isoprenoid biosynthetic process,		GO:0004311~farnesyltranstransferase activity,GO:0004337~geranyltranstransferase activity,	IPR000092:Polyprenyl synthetase,IPR008949:Terpenoid synthase,						KW-0460~Magnesium,	KW-0808~Transferase,														
SMc00324	polyribonucleotide nucleotidyltransferase(pnp)	Sinorhizobium meliloti 2011	GO:0006396~RNA processing,GO:0006402~mRNA catabolic process,	GO:0005737~cytoplasm,	GO:0000287~magnesium ion binding,GO:0003723~RNA binding,GO:0004654~polyribonucleotide nucleotidyltransferase activity,	IPR001247:Exoribonuclease, phosphorolytic domain 1,IPR003029:Ribosomal protein S1, RNA-binding domain,IPR004087:K Homology domain,IPR004088:K Homology domain, type 1,IPR012162:Polyribonucleotide nucleotidyltransferase,IPR012340:Nucleic acid-binding, OB-fold,IPR015847:Exoribonuclease, phosphorolytic domain 2,IPR015848:Polynucleotide phosphorylase, phosphorolytic RNA-binding, bacterial/organelle-type,IPR020568:Ribosomal protein S5 domain 2-type fold,IPR022967:RNA-binding domain, S1,IPR027408:PNPase/RNase PH domain,	PIRSF005499:polyribonucleotide nucleotidyltransferase,	SM00316:SM00316,SM00322:KH,		KW-0963~Cytoplasm,		KW-0460~Magnesium,KW-0479~Metal-binding,	KW-0548~Nucleotidyltransferase,KW-0694~RNA-binding,KW-0808~Transferase,		DOMAIN:KH,DOMAIN:S1 motif,METAL:Magnesium,												
SMa1292	protease(C770_RS22295)	Sinorhizobium meliloti GR4	GO:0006744~ubiquinone biosynthetic process,		GO:0046872~metal ion binding,GO:0051539~4 iron, 4 sulfur cluster binding,	IPR001539:Peptidase U32,			KW-0831~Ubiquinone biosynthesis,			KW-0004~4Fe-4S,KW-0408~Iron,KW-0411~Iron-sulfur,KW-0479~Metal-binding,			METAL:Iron-sulfur (4Fe-4S),												
SMc03010	protein-glutamate O-methylesterase CheB(cheB)	Sinorhizobium meliloti 2011	GO:0006482~protein demethylation,GO:0006935~chemotaxis,GO:0018277~protein deamination,	GO:0005737~cytoplasm,	GO:0000156~phosphorelay response regulator activity,GO:0008984~protein-glutamate methylesterase activity,GO:0050568~protein-glutamine glutaminase activity,	IPR000673:Signal transduction response regulator, chemotaxis, protein-glutamate methylesterase,IPR001789:Signal transduction response regulator, receiver domain,IPR008248:Signal transduction response regulator, chemotaxis, CheB,IPR011006:CheY-like superfamily,	PIRSF000876:chemotaxis response regulator methylesterase, CheB type,	SM00448:REC,	KW-0145~Chemotaxis,	KW-0963~Cytoplasm,			KW-0378~Hydrolase,	KW-0597~Phosphoprotein,	DOMAIN:CheB-type methylesterase,DOMAIN:Response regulatory,												
SMc03009	protein-glutamate O-methyltransferase CheR(cheR)	Sinorhizobium meliloti 2011			GO:0008983~protein-glutamate O-methyltransferase activity,	IPR000780:MCP methyltransferase, CheR-type,IPR022641:MCP methyltransferase, CheR-type, all-alpha domain, N-terminal,IPR022642:MCP methyltransferase, CheR-type, SAM-binding domain, C-terminal,IPR026024:Chemotaxis protein methyltransferase CheR,	PIRSF000410:chemotaxis protein methyltransferase 3,	SM00138:MeTrc,					KW-0808~Transferase,		BINDING:S-adenosyl-L-methionine,DOMAIN:CheR-type methyltransferase,REGION:S-adenosyl-L-methionine binding,												
SMc03939	proton-translocating transhydrogenase family protein(SM2011_RS28940)	Sinorhizobium meliloti 2011		GO:0016021~integral component of membrane,	GO:0016491~oxidoreductase activity,	IPR024605:NAD(P) transhydrogenase, alpha subunit, C-terminal,				KW-0472~Membrane,	KW-0175~Coiled coil,KW-0812~Transmembrane,	KW-0520~NAD,KW-0521~NADP,	KW-0560~Oxidoreductase,KW-1278~Translocase,		DOMAIN:PNTB_4TM,TRANSMEM:Helical,												
SMa1243	pseudoazurin(C770_RS22425)	Sinorhizobium meliloti GR4		GO:0042597~periplasmic space,	GO:0005507~copper ion binding,GO:0009055~electron carrier activity,	IPR000923:Blue (type 1) copper domain,IPR001235:Blue (type 1) copper protein,IPR002386:Amicyanin,IPR008972:Cupredoxin,IPR012745:Pseudoazurin,				KW-0574~Periplasm,	KW-0732~Signal,				DOMAIN:Copper-bind,												
SMa1243	pseudoazurin(SM2011_RS03390)	Sinorhizobium meliloti 2011		GO:0042597~periplasmic space,	GO:0005507~copper ion binding,GO:0009055~electron carrier activity,	IPR000923:Blue (type 1) copper domain,IPR001235:Blue (type 1) copper protein,IPR002386:Amicyanin,IPR008972:Cupredoxin,IPR012745:Pseudoazurin,				KW-0574~Periplasm,	KW-0732~Signal,				DOMAIN:Copper-bind,												
SMc02513	purine permease(SM2011_RS29780)	Sinorhizobium meliloti 2011	GO:0015851~nucleobase transport,	GO:0016021~integral component of membrane,	GO:0022857~transmembrane transporter activity,	IPR006042:Xanthine/uracil permease,IPR006043:Xanthine/uracil/vitamin C permease,IPR017588:Xanthine permease,			KW-0813~Transport,	KW-0472~Membrane,	KW-0812~Transmembrane,				TRANSMEM:Helical,												
SMa0678	putrescine-ornithine antiporter(potE)	Sinorhizobium meliloti 2011		GO:0005887~integral component of plasma membrane,	GO:0015496~putrescine:ornithine antiporter activity,	IPR002293:Amino acid/polyamine transporter I,IPR027566:Putrescine-ornithine antiporter,			KW-0813~Transport,	KW-0472~Membrane,KW-0997~Cell inner membrane,KW-1003~Cell membrane,					TRANSMEM:Helical,												
SMa1223	pyridoxamine 5'-phosphate oxidase family protein(SM2011_RS03330)	Sinorhizobium meliloti 2011	GO:0009399~nitrogen fixation,			IPR012349:FMN-binding split barrel,IPR024747:Pyridoxamine 5'-phosphate oxidase-related,			KW-0535~Nitrogen fixation,																		
SMc01030	pyruvate dehydrogenase (acetyl-transferring) E1 component subunit alpha(pdhA)	Sinorhizobium meliloti 2011	GO:0006086~acetyl-CoA biosynthetic process from pyruvate,GO:0006096~glycolytic process,	GO:0043231~intracellular membrane-bounded organelle,	GO:0004739~pyruvate dehydrogenase (acetyl-transferring) activity,	IPR001017:Dehydrogenase, E1 component,IPR017597:Pyruvate dehydrogenase (acetyl-transferring) E1 component, alpha subunit, subgroup y,			KW-0324~Glycolysis,			KW-0670~Pyruvate,KW-0786~Thiamine pyrophosphate,	KW-0560~Oxidoreductase,		DOMAIN:E1_dh,REGION:Disordered,												
SMc02601	quinolinate synthase NadA(nadA)	Sinorhizobium meliloti 2011	GO:0009435~NAD biosynthetic process,	GO:0005737~cytoplasm,	GO:0008987~quinolinate synthetase A activity,GO:0046872~metal ion binding,GO:0051539~4 iron, 4 sulfur cluster binding,	IPR003473:Quinolinate synthetase A,IPR023066:Quinolinate synthase A, type 2,			KW-0662~Pyridine nucleotide biosynthesis,	KW-0963~Cytoplasm,		KW-0004~4Fe-4S,KW-0408~Iron,KW-0411~Iron-sulfur,KW-0479~Metal-binding,	KW-0808~Transferase,		BINDING:Iminoaspartate,BINDING:Iminoaspartate	 via amide nitrogen,METAL:Iron-sulfur (4Fe-4S),REGION:Iminoaspartate binding,											
SMa1179	regulatory protein NosR(SM2011_RS03215)	Sinorhizobium meliloti 2011	GO:0045893~positive regulation of transcription, DNA-templated,	GO:0016021~integral component of membrane,	GO:0003677~DNA binding,GO:0010181~FMN binding,	IPR007329:FMN-binding,IPR011399:Nitrous oxide reductase expression regulator NosR,IPR017896:4Fe-4S ferredoxin-type, iron-sulpur binding domain,	PIRSF036354:nitrous oxide reductase expression regulator NosR,	SM00900:SM00900,		KW-0472~Membrane,	KW-0732~Signal,KW-0812~Transmembrane,KW-1133~Transmembrane helix,				DOMAIN:FMN_bind,REGION:Disordered,TRANSMEM:Helical,												
SMa1550	response regulator transcription factor(SM2011_RS04260)	Sinorhizobium meliloti 2011	GO:0000160~phosphorelay signal transduction system,GO:0006355~regulation of transcription, DNA-templated,		GO:0003677~DNA binding,	IPR000792:Transcription regulator LuxR, C-terminal,IPR001789:Signal transduction response regulator, receiver domain,IPR011006:CheY-like superfamily,IPR016032:Signal transduction response regulator, C-terminal effector,		SM00421:HTH_LUXR,SM00448:REC,					KW-0238~DNA-binding,	KW-0597~Phosphoprotein,	DOMAIN:HTH luxR-type,DOMAIN:Response regulatory,REGION:Disordered,												
SMc03046	response regulator transcription factor(SM2011_RS17755)	Sinorhizobium meliloti 2011	GO:0000160~phosphorelay signal transduction system,GO:0006355~regulation of transcription, DNA-templated,		GO:0003677~DNA binding,	IPR001789:Signal transduction response regulator, receiver domain,IPR001867:Signal transduction response regulator, C-terminal,IPR011006:CheY-like superfamily,IPR016032:Signal transduction response regulator, C-terminal effector,		SM00862:SM00862,							DNA_BIND:OmpR/PhoB-type,DOMAIN:OmpR/PhoB-type,DOMAIN:Response regulatory,												
SMc03006	response regulator(SM2011_RS17555)	Sinorhizobium meliloti 2011	GO:0000160~phosphorelay signal transduction system,			IPR001789:Signal transduction response regulator, receiver domain,IPR011006:CheY-like superfamily,		SM00448:REC,						KW-0597~Phosphoprotein,	DOMAIN:Response regulatory,												
SMa2404	rhizobactin siderophore biosynthesis protein RhbC(rhbC)	Sinorhizobium meliloti 2011	GO:0019289~rhizobactin 1021 biosynthetic process,			IPR007310:Aerobactin siderophore biosynthesis, IucA/IucC, N-terminal,IPR022770:FhuF/siderophore biosynthesis protein, C-terminal,																					
SMa2410	rhizobactin siderophore biosynthesis protein RhbF(rhbF)	Sinorhizobium meliloti 2011	GO:0019289~rhizobactin 1021 biosynthetic process,			IPR007310:Aerobactin siderophore biosynthesis, IucA/IucC, N-terminal,IPR022770:FhuF/siderophore biosynthesis protein, C-terminal,																					
SM_b20198	ribulose bisphosphate carboxylase large chain(rbcL)	Sinorhizobium meliloti GR4	GO:0019253~reductive pentose-phosphate cycle,		GO:0000287~magnesium ion binding,GO:0004497~monooxygenase activity,GO:0016984~ribulose-bisphosphate carboxylase activity,	IPR000685:Ribulose bisphosphate carboxylase, large subunit, C-terminal,IPR017443:Ribulose bisphosphate carboxylase, large subunit, ferrodoxin-like N-terminal,IPR020878:Ribulose bisphosphate carboxylase, large chain, active site,IPR020888:Ribulose bisphosphate carboxylase, large subunit,			KW-0113~Calvin cycle,KW-0120~Carbon dioxide fixation,			KW-0460~Magnesium,KW-0479~Metal-binding,	KW-0456~Lyase,KW-0503~Monooxygenase,KW-0560~Oxidoreductase,		ACT_SITE:Proton acceptor,BINDING:Substrate,BINDING:Substrate	 in homodimeric partner,DOMAIN:RuBisCO_large,DOMAIN:RuBisCO_large_N,METAL:Magnesium,METAL:Magnesium	 via carbamate group,SITE:Transition state stabilizer,										
SM_b20197	ribulose bisphosphate carboxylase small subunit(SM2011_RS07530)	Sinorhizobium meliloti 2011	GO:0019253~reductive pentose-phosphate cycle,			IPR000894:Ribulose bisphosphate carboxylase small chain, domain,		SM00961:SM00961,	KW-0113~Calvin cycle,KW-0120~Carbon dioxide fixation,						COMPBIAS:Polar residues,REGION:Disordered,												
SM_b20195	ribulose-phosphate 3-epimerase(rpe)	Sinorhizobium meliloti 2011	GO:0006098~pentose-phosphate shunt,GO:0019323~pentose catabolic process,		GO:0004750~ribulose-phosphate 3-epimerase activity,GO:0046872~metal ion binding,	IPR000056:Ribulose-phosphate 3-epimerase-like,IPR011060:Ribulose-phosphate binding barrel,IPR013785:Aldolase-type TIM barrel,IPR026019:Ribulose-phosphate 3-epimerase,	PIRSF001461:ribulose-phosphate 3-epimerase,					KW-0170~Cobalt,KW-0464~Manganese,KW-0862~Zinc,	KW-0413~Isomerase,		ACT_SITE:Proton acceptor,ACT_SITE:Proton donor,BINDING:Substrate,BINDING:Substrate	 via amide nitrogen,METAL:Divalent metal cation,METAL:Divalent metal cation	 via pros nitrogen,METAL:Divalent metal cation	 via tele nitrogen,REGION:Substrate binding,									
SMc03071	rod-binding protein(SM2011_RS17810)	Sinorhizobium meliloti 2011				IPR019301:Flagellar protein FlgJ, N-terminal,				KW-0282~Flagellum,KW-0966~Cell projection,KW-0969~Cilium,					DOMAIN:Rod-binding,												
SM_b21207	secretion protein HlyD(hlyD)	Sinorhizobium meliloti 2011		GO:0042597~periplasmic space,		IPR022936:Uncharacterised protein family UPF0194, membrane protein YbhG,				KW-0574~Periplasm,	KW-0175~Coiled coil,KW-0732~Signal,				DOMAIN:HlyD_D23,												
SM_b20098	sensory rhodopsin transducer(SM2011_RS07065)	Sinorhizobium meliloti 2011				IPR009794:Protein of unknown function DUF1362,	PIRSF008711:epothilone biosynthesis protein,																				
SMc00404	septal ring lytic transglycosylase RlpA family protein(SM2011_RS15965)	Sinorhizobium meliloti 2011	GO:0000270~peptidoglycan metabolic process,GO:0071555~cell wall organization,		GO:0008932~lytic endotransglycosylase activity,GO:0016829~lyase activity,	IPR009009:Barwin-related endoglucanase,IPR012997:Rare lipoprotein A, bacterial,					KW-0732~Signal,		KW-0456~Lyase,	KW-0449~Lipoprotein,	DOMAIN:DPBB_1,												
SMc03857	signal recognition particle protein(ffh)	Sinorhizobium meliloti 2011	GO:0006614~SRP-dependent cotranslational protein targeting to membrane,	GO:0005886~plasma membrane,GO:0048500~signal recognition particle,	GO:0003924~GTPase activity,GO:0005525~GTP binding,GO:0008312~7S RNA binding,	IPR000897:Signal recognition particle, SRP54 subunit, GTPase domain,IPR003593:AAA+ ATPase domain,IPR004125:Signal recognition particle, SRP54 subunit, M-domain,IPR004780:Signal recognition particle protein Ffh,IPR013822:Signal recognition particle, SRP54 subunit, helical bundle,IPR022941:Signal recognition particle, SRP54 subunit,IPR027417:P-loop containing nucleoside triphosphate hydrolase,		SM00382:AAA,SM00962:SM00962,SM00963:SM00963,		KW-0963~Cytoplasm,					DOMAIN:SRP54,NP_BIND:GTP,REGION:Disordered,												
SMc01053	siroheme synthase CysG(cysG)	Sinorhizobium meliloti 2011	GO:0009236~cobalamin biosynthetic process,GO:0019354~siroheme biosynthetic process,GO:0032259~methylation,		GO:0004851~uroporphyrin-III C-methyltransferase activity,GO:0043115~precorrin-2 dehydrogenase activity,GO:0051266~sirohydrochlorin ferrochelatase activity,GO:0051287~NAD binding,	IPR000878:Tetrapyrrole methylase,IPR003043:Uroporphiryn-III C-methyltransferase, conserved site,IPR006366:Uroporphyrin-III C-methyltransferase,IPR006367:Sirohaem synthase, N-terminal,IPR012409:Sirohaem synthase,IPR014776:Tetrapyrrole methylase, subdomain 2,IPR014777:Tetrapyrrole methylase, subdomain 1,IPR019478:Sirohaem synthase, dimerisation domain,	PIRSF036426:siroheme synthase,		KW-0169~Cobalamin biosynthesis,KW-0627~Porphyrin biosynthesis,			KW-0520~NAD,KW-0949~S-adenosyl-L-methionine,	KW-0456~Lyase,KW-0511~Multifunctional enzyme,KW-0560~Oxidoreductase,KW-0808~Transferase,		ACT_SITE:Proton acceptor,ACT_SITE:Proton donor,DOMAIN:CysG_dimeriser,DOMAIN:TP_methylase,												
SMa1126	site-2 protease family protein(SM2011_RS03065)	Sinorhizobium meliloti 2011		GO:0005886~plasma membrane,GO:0016021~integral component of membrane,	GO:0004222~metalloendopeptidase activity,GO:0046872~metal ion binding,	IPR000644:Cystathionine beta-synthase, core,IPR008915:Peptidase M50,IPR016483:Uncharacterised conserved protein UCP006404, peptidase M50/CBS,	PIRSF006404:uncharacterized protein with peptidase M50 and CBS domains,			KW-0472~Membrane,KW-1003~Cell membrane,	KW-0677~Repeat,	KW-0862~Zinc,	KW-0378~Hydrolase,KW-0482~Metalloprotease,KW-0645~Protease,		DOMAIN:CBS,METAL:Zinc	 catalytic,TRANSMEM:Helical,											
